,key
0,air1
1,air2
2,air3
3,airwindowunit1
4,aquarium1
5,bathroom1
6,bathroom2
7,bedroom1
8,bedroom2
9,bedroom3
10,bedroom4
11,bedroom5
12,battery1
13,car1
14,car2
15,circpump1
16,clotheswasher1
17,clotheswasher_dryg1
18,diningroom1
19,diningroom2
20,dishwasher1
21,disposal1
22,drye1
23,dryg1
24,freezer1
25,furnace1
26,furnace2
27,garage1
28,garage2
29,grid
30,heater1
31,heater2
32,heater3
33,housefan1
34,icemaker1
35,jacuzzi1
36,kitchen1
37,kitchen2
38,kitchenapp1
39,kitchenapp2
40,lights_plugs1
41,lights_plugs2
42,lights_plugs3
43,lights_plugs4
44,lights_plugs5
45,lights_plugs6
46,livingroom1
47,livingroom2
48,microwave1
49,office1
50,outsidelights_plugs1
51,outsidelights_plugs2
52,oven1
53,oven2
54,pool1
55,pool2
56,poollight1
57,poolpump1
58,pump1
59,range1
60,refrigerator1
61,refrigerator2
62,security1
63,sewerpump1
64,shed1
65,solar
66,solar2
67,sprinkler1
68,sumppump1
69,utilityroom1
70,venthood1
71,waterheater1
72,waterheater2
73,wellpump1
74,winecooler1
